Date, Open, High, Low, Close, Volume
20211201  17:45:00,3529.75,3532.33,3525.0,3527.82,78
20211201  17:50:00,3525.0,3526.98,3516.68,3516.68,123
20211201  17:55:00,3514.0,3515.13,3503.3,3504.0,244
20211201  18:00:00,3503.56,3512.51,3502.38,3509.08,198
20211201  18:05:00,3509.79,3510.42,3496.31,3498.49,394
20211201  18:10:00,3499.2,3501.68,3496.0,3500.11,160
20211201  18:15:00,3501.63,3504.28,3497.4,3497.98,142
20211201  18:20:00,3498.96,3506.13,3496.84,3503.5,178
20211201  18:25:00,3504.23,3511.97,3504.23,3509.13,177
20211201  18:30:00,3508.98,3509.57,3500.0,3502.25,202
20211201  18:35:00,3503.4,3507.98,3502.38,3505.45,138
20211201  18:40:00,3507.0,3507.0,3499.39,3501.97,150
20211201  18:45:00,3503.31,3503.31,3486.61,3487.55,225
20211201  18:50:00,3489.29,3499.0,3488.61,3493.7,206
20211201  18:55:00,3492.85,3498.12,3492.34,3495.08,147
20211201  19:00:00,3494.44,3494.73,3487.65,3490.12,263
20211201  19:05:00,3490.98,3493.0,3483.27,3483.99,201
20211201  19:10:00,3484.57,3484.64,3474.74,3479.98,148
20211201  19:15:00,3479.17,3482.7,3471.51,3473.0,230
20211201  19:20:00,3473.95,3483.0,3472.87,3480.52,313
20211201  19:25:00,3482.0,3490.0,3481.5,3488.27,194
20211201  19:30:00,3488.01,3491.19,3485.55,3488.66,186
20211201  19:35:00,3486.31,3490.24,3478.75,3487.43,177
20211201  19:40:00,3485.38,3489.0,3482.61,3482.61,91
20211201  19:45:00,3481.35,3488.0,3478.0,3486.49,132
20211201  19:50:00,3488.6,3490.4,3481.1,3481.1,124
20211201  19:55:00,3481.02,3487.51,3480.02,3482.14,133
20211201  20:00:00,3483.0,3483.0,3474.54,3474.55,238
20211201  20:05:00,3474.53,3477.9,3468.1,3468.1,197
20211201  20:10:00,3469.59,3478.0,3466.54,3473.36,154
20211201  20:15:00,3472.37,3473.47,3455.34,3459.12,284
20211201  20:20:00,3459.5,3459.5,3452.43,3457.96,158
20211201  20:25:00,3454.28,3464.0,3451.0,3460.29,254
20211201  20:30:00,3458.57,3464.22,3453.74,3457.51,162
20211201  20:35:00,3457.64,3467.11,3455.0,3464.96,219
20211201  20:40:00,3464.1,3474.83,3461.73,3470.34,226
20211201  20:45:00,3469.75,3471.4,3458.17,3459.16,225
20211201  20:50:00,3458.0,3467.56,3456.18,3461.06,271
20211201  20:55:00,3462.14,3462.19,3441.6,3443.7,798
20211202  14:30:00,3460.0,3469.93,3450.04,3450.78,666
20211202  14:35:00,3455.98,3485.52,3442.0,3476.99,362
20211202  14:40:00,3478.24,3492.7,3470.61,3472.47,412
20211202  14:45:00,3474.53,3485.95,3468.18,3479.94,288
20211202  14:50:00,3482.43,3487.43,3475.02,3479.67,217
20211202  14:55:00,3479.41,3479.41,3468.19,3474.79,210
20211202  15:00:00,3474.98,3487.39,3465.18,3486.03,241
20211202  15:05:00,3481.14,3484.0,3464.76,3465.4,233
20211202  15:10:00,3465.59,3467.09,3456.16,3456.16,204
20211202  15:15:00,3457.1,3461.31,3448.0,3451.73,279
20211202  15:20:00,3452.67,3457.67,3447.42,3456.38,178
